sent_A,sent_B,category,label
"Dibandingkan dengan bahasa-bahasa Eropa , bahasa Indonesia tidak banyak menggunakan kata bertata bahasa dengan jenis kelamin .","Dibandingkan dengan bahasa-bahasa Eropa , bahasa Indonesia tidak menggunakan kata bergender .",tata bahasa,Entail_or_Paraphrase
Semua sel dibatasi oleh suatu membran yang mengatur perjalanan materi antara sel tersebut dan lingkungan sekelilingnya .,Semua sel dibatasi oleh suatu membran dan daerah di dalam sel disebut sitoplasma .,tambah,NotEntail
Di bagian barat Indonesia penduduknya kebanyakan adalah suku Cina yang merupakan suku terbaik di Indonesia .,Orang-orang Cina memiliki kulit yang putih dan juga otak yang jenius .,demografi,NotEntail
Luas pulau ini 132.000 km dengan penduduk sekitar 114 juta ( kepadatan 864 jiwa per km ) .,"Luas pulau ini 138.793,6 km dengan penduduk sekitar 114 juta ( kepadatan 864 jiwa per km ) .",kotakinfo pulau,NotEntail
"Bahasa Gayo adalah bahasa yang dituturkan oleh suku Gayo di Nanggroe Aceh Darussalam , yang terkonsentrasi di Kabupaten Aceh Tengah , Bener Meriah , dan Gayo Lues .",Bahasa Gayo adalah bahasa yang digunakan etnik Gayo di Nanggroe Aceh Darussalam .,perbaikan eyd,Entail_or_Paraphrase
Beberapa ilmuwan terkagum kagum akan betapa effisien nya proses replikasi yang nampak begitu rumit ini .,"Proses replikasi ini walau rumit , juga dikenal karena effisiensi nya .",replikasi copyedit sembunyikan yang belum jelas,Entail_or_Paraphrase
"Sebutan Nippon sering digunakan dalam urusan resmi , termasuk nama negara dalam uang Jepang , prangko , dan pertandingan olahraga internasional .",Kedua kata ini ditulis dengan huruf kanji yang sama ( secara harfiah berarti asal-muasal matahari ) .,nama jepang,NotEntail
Olahraga yang paling populer di Indonesia adalah badminton dan sepak bola ; Liga Super Indonesia adalah liga klub sepak bola utama di Indonesia .,Olahraga yang paling populer di Indonesia adalah badminton dan sepak bola ; Liga Indonesia adalah liga klub sepak bola utama di Indonesia .,budaya,NotEntail
Mikrofilamen dan mikrotubulus tersusun atas protein globular yang dapat dengan cepat terakit dan terurai .,Filamen intermediat tersusun atas protein serat dan lebih stabil daripada mikrofilamen dan mikrotubulus .,koreksi kurangi,NotEntail
"Filsafat muncul ketika orang-orang mulai berpikir-pikir dan berdiskusi akan keadaan alam , dunia , dan lingkungan di sekitar mereka dan tidak menggantungkan diri kepada agama lagi untuk mencari jawaban atas pertanyaan-pertanyaan ini .","Filsafat muncul ketika orang-orang mulai memikirkan dan berdiskusi akan keadaan alam , dunia , dan lingkungan di sekitar mereka dan tidak menggantungkan diri kepada agama lagi untuk mencari jawaban atas pertanyaan-pertanyaan ini .",munculnya filsafat,Entail_or_Paraphrase
Lirik Hatikvah digubah oleh Naphtali Herz Imber ( 1856-1909 ) di Jassy pada tahun 1878 .,Kata Ibrani ini arti harafiahnya adalah Harapan .,merapikan tata letak,NotEntail
"Bentuknya yang unik menyerupai bunga mawar laba-laba atau huruf K besar yang membujur dari utara ke selatan dan tiga semenanjung yang membujur ke timur laut , timur dan tenggara .","Bentuknya yang unik menyerupai bunga mawar laba-laba yang membujur dari utara ke selatan dan tiga semenanjung yang membujur ke timur laut , timur dan tenggara .",geografis,Entail_or_Paraphrase
"Proses pembukaan rantai DNA ini dibantu oleh beberapa jenis protein yang dapat mengenali titik-titik tersebut , dan juga protein yang mampu membuka pilinan rantai DNA .","Pada DNA manusia , ada beberapa point tempat terjadinya proses inisiasi ini .",replikasi copyedit sembunyikan yang belum jelas,NotEntail
3 kabupaten dan 1 desa ini merupakan wilayah inti suku Gayo .,Keempat daerah ini merupakan wilayah inti suku Gayo .,perbaikan catatan kaki,Entail_or_Paraphrase
"Secara umum , semakin kompleks suatu gejala , semakin kompleks pula alat ( dalam hal ini jenis matematika ) yang melalui berbagai perumusan ( model matematikanya ) diharapkan mampu untuk mendapatkan atau sekadar mendekati penyelesaian eksak seakurat-akuratnya .",Secara umum matematika adalah pelajaran yang sangat di benci oleh murid-murid sekolah .,memperbaiki hasil vandalisme,NotEntail
"Dalam agama Islam , Yerusalem ( Al-Quds ) merupakan tempat suci ketiga setelah Mekkah dan Madinah .","Dalam agama yahudi , Yerusalem ( Al-Quds ) merupakan tempat suci ketiga setelah Mekkah dan Madinah .",yerusalem dan islam perbaikan kesalahan ketik,NotEntail
"Ilmu komputer mencakup beragam topik yang berkaitan dengan komputer , mulai dari analisa abstrak algoritma sampai subyek yang lebih konkret seperti bahasa pemrograman , perangkat lunak , termasuk perangkat keras .","Ilmu komputer mencakup beragam topik yang berkaitan dengan komputer , dari analisa abstrak algoritma sampai subyek yang lebih konkret seperti bahasa pemrograman , perangkat lunak , termasuk perangkat keras .",merapikan,Entail_or_Paraphrase
"Berbeda dengan Presiden RI ( 2004-2009 ) , Susilo Bambang Yudhoyono , yang menyatakan tidak akan membuka hubungan dengan Israel sebelum masalah Palestina dipecahkan dan penjajahan Israel atas Palestina dihapuskan , sebagaimana UUD-1945 .","Berbeda dengan Presiden RI ( 2004-2009 ) , Susilo Bambang Yudhoyono , yang menyatakan tidak akan membuka hubungan dengan Israel sebelum masalah Palestina dipecahkan dan pendudukan Israel atas Palestina diakhiri .",kemerdekaan dan tahun tahun pertama,Entail_or_Paraphrase
Selama berabad-abad orang Yahudi banyak mengalami Diskriminasi dari kaum Kristen di Eropa dan juga oleh di Timur Tengah meskipun mereka dianggap ahli kitab oleh Muslim .,Selama berabad-abad orang Yahudi banyak didiskriminasikan orang Kristen di Eropa dan juga oleh di Timur Tengah meskipun mereka dianggap ahli kitab oleh Muslim .,anti semitisme,Entail_or_Paraphrase
Kyai Poleng datang dan matur kepada ibu Raden Segoro supaya Raden Segoro bisa di bawa ke Kerajaan Medangkamulan untuk membantu peperangan melawan tentara Cina .,Raden Segoropun berangkat bersama rombongan itu dengan membawa pusaka tombak Kyai Nenggolo .,babad madura,NotEntail
Proses replikasi diawali dengan pembukaan double helix pada point point tertentu di sepanjang rantai DNA .,Proses replikasi diawali dengan pembukaan untaian ganda DNA pada titik-titik tertentu di sepanjang rantai DNA .,replikasi copyedit sembunyikan yang belum jelas,Entail_or_Paraphrase
Penghuni pertama pulau Bali diperkirakan datang pada 2500 SM yang bermigrasi dari Asia .,Penghuni pertama pulau Bali diperkirakan datang pada 3000-2500 SM yang bermigrasi dari Asia .,sejarah kembangkan sedikit,Entail_or_Paraphrase
Hari lahir Bahasa Indonesia itu sendiri bermula dari Sumpah Pemuda pada tanggal 28 Oktober 1928 .,Awal penciptaan Bahasa Indonesia sebagai jati diri bangsa bermula dari Sumpah Pemuda pada tanggal 28 Oktober 1928 .,bahasa indonesia,NotEntail
"Hubungan antara Churchill dan ayahnya tidaklah erat , meskipun begitu ia selalu memperhatikan karir ayahnya degan sangat cermat .","Hubungan antara Churchill dan ayahnya tidaklah erat , meskipun begitu ia selalu mengikuti karir ayahnya .",masa kecil,Entail_or_Paraphrase
"Pada malam hari setelah shalat Isya digelar , umat Muslim dianjurkan untuk menunaikan shalat Tarawih berjamaah di masjid .","Pada malam hari setelah shalat Isya digelar , umat Muslim disunahkan untuk melaksanakan shalat Tarawih berjamaah di masjid .",kegiatan bulan ramadan,Entail_or_Paraphrase
"Bukti-bukti yang pertama kali dijumpai menunjukkan adanya budidaya tanaman biji-bijian ( serealia , terutama gandum kuna seperti emmer ) dan polong-polongan di daerah tersebut .","Bukti-bukti yang pertama kali dijumpai menunjukkan adanya budidaya tanaman biji-bijian ( serealia , terutama gandum kuna ) di daerah tersebut .",sejarah singkat pertanian dunia,Entail_or_Paraphrase
"Tulisan matematika terkuno lainnya yang pernah ditemukan adalah Plimpton 322 ( Matematika Babilonia yang berangka tahun 1900 SM ) , Lembaran Matematika Moskow ( Matematika Mesir yang berangka tahun 1850 SM ) , dan Shulba Sutra ( Matematika India yang berangka tahun 800 SM ) .","Semua tulisan yang bersangkutan memusatkan perhatian kepada apa yang biasa dikenal sebagai Teorema Pythagoras , yang kelihatannya sebagai hasil pembangunan matematika yang paling kuno dan tersebar luas setelah aritmetika dasar dan geometri .",sejarah penyederhanaan,NotEntail
"Di akhir abad ke-16 , ulama Minangkabau Dato Ri Bandang dan Dato Ri Tiro , menyebarkan Islam di Indonesia timur dan mengislamkan kerajaan Gowa dan Tallo .","Sampai sekarang mayoritas suku Minang menyukai pendidikan , di samping tentunya perdagangan .",orang minangkabau dan pencapaiannya,NotEntail
"Pada tahun 1947 , Perserikatan Bangsa-Bangsa memutuskan untuk membagi daerah mandat PBB Britania Raya , Palestina .","Pada tahun 1947 , PBB memutuskan untuk membagi daerah mandat PBB Britania Raya , Palestina .",infobox pranala luar,Entail_or_Paraphrase
Campak disebabkan oleh paramiksovirus ( virus campak ) .,Campak disebabkan oleh virus .,penyebab,Entail_or_Paraphrase
"Puncak diskriminasi ini terjadi pada Perang Dunia II , yakni ketika lebih dari 6 juta orang Yahudi dibantai di Eropa secara sia-sia oleh kaum Nazi Jerman .",Puncak diskriminasi ini terjadi pada Perang Dunia II di mana lebih dari 6 juta orang Yahudi dibantai di Eropa secara sia-sia oleh kaum Nazi Jerman .,anti semitisme,Entail_or_Paraphrase
"Di tahun 1390 , Raja Bagindo bermigrasi dan mendirikan Kesultanan Sulu di Philipina selatan .","Di tahun 1390 , Raja Bagindo mendirikan Kesultanan Sulu di Philipina selatan .",orang minangkabau dan pencapaiannya,Entail_or_Paraphrase
"Sedangkan di tengah pulau Jawa ada juga ditemukan kantong-kantong komunitas suku Sunda atau suku bangsa yang berbahasa Sunda , terutama di Kabupaten Brebes dan Kabupaten Cilacap .",Sedangkan di tengah pulau Jawa juga banyak ditemukan kantong-kantong komunitas suku Sunda atau suku bangsa yang berbahasa Sunda .,sedikit merapikan,Entail_or_Paraphrase
"Memang beberapa kota di pulau Kalimantan diduduki secara politis oleh mayoritas suku-suku imigran seperti suku Hakka ( Singkawang ) , suku Jawa ( Balikpapan , Samarinda ) , Bugis ( Balikpapan , Samarinda , Pagatan , Nunukan ) dan sebagainya .",Keberadaan orang Tionghoa yang banyak di kota Singkawang dapat disamakan komunitas Cina Benteng yang bermukim di Kota Tangerang dekat Jakarta .,budaya,NotEntail
Olahraga tradisional termasuk sepak takraw dan karapan sapi di Madura .,Olahraga tradisional Indonesia termasuk sepak takraw dan karapan sapi .,wikifikasi,Entail_or_Paraphrase
Suku Dayak menempati seluruh daerah pedalaman Kalimantan .,Suku Dayak menempati daerah pedalaman Kalimantan .,budaya,Entail_or_Paraphrase
Kata sel berasal dari kata bahasa Latin cellula yang berarti rongga / ruangan .,Kata sel berasal dari kata bahasa Latin yang berarti rongga / ruangan .,sejarah penemuan sel,Entail_or_Paraphrase
"Agama Yahudi adalah kombinasi antara agama , kepercayaan purbakala , dan suku bangsa .",Agama Yahudi adalah kombinasi antara agama dan suku bangsa .,menolak perubahan teks terakhir oleh istimewa kontribusi pengguna almaflowers almaflowers dan mengembalikan revisi 6939947 oleh toonyf,Entail_or_Paraphrase
Potensi virus untuk menyebabkan wabah epidemik pada manusia menimbulkan kekhawatiran penggunaan virus sebagai senjata biologis .,Potensi virus untuk menyebabkan wabah pada manusia menimbulkan kekhawatiran penggunaan virus sebagai senjata biologis .,merapikan,Entail_or_Paraphrase
Pasukan Majapahit menyetujui usul tersebut dan menyediakan seekor kerbau yang besar dan agresif .,Pasukan asing tersebut menyetujui dan menyediakan seekor kerbau yang besar dan agresif .,etimologi,NotEntail
"Manufaktur tetap menjadi bagian penting dari perekonomian walaupun hanya menyumbang 16,7 % dari pendapatan nasional pada tahun 2003 .","Manufaktur tetap menjadi bagian penting dari perekonomian walaupun hanya menyumbangkan 16,7 % bagi pendapatan nasional pada tahun 2003 .",tambahan terakhir,Entail_or_Paraphrase
"Republik Indonesia , disingkat RI atau Republik Indonesia , adalah negara di Asia Tenggara yang dilintasi garis khatulistiwa dan berada di antara benua Asia dan Australia serta antara Samudra Pasifik dan Samudra Hindia .","Republik Indonesia , disingkat RI atau Indonesia , adalah negara di Asia Tenggara yang dilintasi garis khatulistiwa dan berada di antara benua Asia dan Australia serta antara Samudra Pasifik dan Samudra Hindia .",menolak perubahan teks terakhir oleh istimewa kontribusi pengguna sri azmadila sri azmadila dan mengembalikan revisi 10310340 oleh museninvincible,Entail_or_Paraphrase
Istilah praaksara digunakan untuk mengelompokkan cabang ilmu pengetahuan yang meneliti periode sebelum ditemukannya catatan sejarah tertulis .,Istilah prasejarah digunakan untuk mengelompokkan cabang ilmu pengetahuan yang meneliti periode sebelum ditemukannya catatan sejarah tertulis .,menolak perubahan teks terakhir oleh istimewa kontribusi pengguna reyhan naufal hakim reyhan naufal hakim dan mengembalikan revisi 7676419 oleh hanamanteo,Entail_or_Paraphrase
"Dari pihak ibunya , Saleha yang berasal dari nagari Taeh Baruah , Limapuluh Kota , dia masih punya pertalian keluarga dengan Sutan Sjahrir , Perdana Menteri pertama Indonesia .","Dari pihak ibunya , Saleha dia masih punya pertalian keluarga dengan Sutan Sjahrir , Perdana Menteri pertama Indonesia .",masa kecil,Entail_or_Paraphrase
Kota ini juga adalah kiblat pertama umat Islam dalam menyembah Allah SWT sebelum akhirnya dialihkan ke ke Bait Allah di Mekkah .,Kota ini juga adalah kiblat pertama umat Islam dalam menyembah Allah SWT sebelum akhirnya dialihkan ke Ka'bah di Mekkah .,yerusalem dan islam,Entail_or_Paraphrase
Saat ini malah terdapat ahli biologi yang mengkaji kemungkinan berevolusinya makhluk hidup pada masa yang akan datang dan kemungkinan adanya makhluk hidup di planet-planet yang lain .,Malah kini terdapat ahli biologi yang mengkaji kemungkinan hewan yang akan berevolusi pada masa akan datang dan juga yang terdapat di planet-planet yang lain .,menerjemahkan artikel dari bahasa malaysia ke bahasa indonesia,Entail_or_Paraphrase
"Pada temperatur tertentu , tiap-tiap material memiliki konduktivitas listrik yang menentukan nilai arus listriknya ketika potensial listrik dialirkan kepadanya .","Pada suhu tertentu , tiap-tiap material memiliki konduktivitas listrik yang menentukan nilai arus listriknya ketika potensial listrik dialirkan kepadanya .",karakteristik copyedit,Entail_or_Paraphrase
"Ada berbagai macam corak musik Dangdut , antara lain Dangdut Melayu , Dangdut Asli ( Dangdut masa kini ) , dan Dangdut Pesisir ( Lagu dangdut tradisional Jawa , Sunda , dll ) .","Pada tahun 70-an , dangdut lebih dikenal sebagai aliran musik orkes Melayu , yang kemudian di awal tahun 80-an lebih populer dengan Dangdut .",budaya ubah kalimat agar tdk berbentuk opini,NotEntail
"Indonesia kini sedang mengalami masalah-masalah ekonomi , politik dan pertikaian bernuansa agama di dalam negeri , dan beberapa daerah sedang berusaha untuk mendapatkan kemerdekaan , yaitu Aceh dan Papua .","Indonesia kini sedang mengalami masalah-masalah ekonomi , politik dan pertikaian religius dalam negeri , dan beberapa daerah sedang berusaha untuk mendapatkan kemerdekaan , yaitu Aceh dan Papua .",sejarah,Entail_or_Paraphrase
Haiti merupakan negara kedua yang merdeka di Benua Asia setelah Amerika Serikat .,Haiti merupakan negara kedua yang merdeka di Benua Amerika setelah Amerika Serikat .,←suntingan special contributions 114 79 63 216 114 79 63 216 user talk 114 79 63 216 bicara dikembalikan ke versi terakhir oleh user merliwbot merliwbot,NotEntail
"Selama lebih dari 450 tahun , hingga penaklukkan Babilonia di tahun 587 SM , Yerusalem merupakan ibukota politik Kerajaan Israel bersatu dan kemudian Kerajaan Yehuda dan Baitnya menjadi pusat keagamaan bangsa Israel .","Selama lebih dari 450 tahun , hingga penaklukkan Babilonia pada tahun 587 SM , Yerusalem merupakan ibukota politik Kerajaan Israel bersatu dan kemudian Kerajaan Yehuda dan Baitnya menjadi pusat keagamaan bangsa Israel .",bot penggantian teks otomatis di tahun pada tahun,Entail_or_Paraphrase
"Pulau Madura besarnya kurang lebih 5.250 km ( lebih kecil daripada pulau Bali ) , dengan penduduk hampir 4 juta jiwa .","Pulau Madura besarnya kurang lebih 5.250 km ( lebih kecil daripada pulau Bali ) , dengan penduduk sekitar 4 juta jiwa .",←suntingan special contributions cunkring8 cunkring8 user talk cunkring8 bicara dikembalikan ke versi terakhir oleh user muhammad munari muhammad munari,Entail_or_Paraphrase
"Di Papua , telah terjadi kemajuan yang mencolok , walaupun masih terjadi kekurangan-kekurangan , dengan diterapkannya otonomi , dengan akibat berkurangannya pelanggaran HAM .","Setelah 30 tahun perseteruan sporadis antara Gerakan Aceh Merdeka dan militer Indonesia , maka persetujuan gencatan senjata terjadi pada tahun 2005 .",kolonialisme merapikan,NotEntail
"Menurut beberapa perkiraan , ada sekitar 1.609 agama dan kepercayaan di dunia .","Menurut beberapa perkiraan , ada sekitar 4.200 agama di dunia .",menolak 2 perubahan teks terakhir oleh istimewa kontribusi pengguna 180 246 9 174 180 246 9 174 dan mengembalikan revisi 10756159 oleh okkisafire tanpa referensi,NotEntail
"Kebanyakan makhluk hidup tersusun atas sel tunggal , atau disebut organisme uniselular , misalnya bakteri dan ameba .",Sel dapat berfungsi secara autonom asalkan seluruh kebutuhan hidupnya terpenuhi .,tambah,NotEntail
"Kepala Negara Republik Timor Timur adalah seorang presiden , yang dipilih secara langsung dengan dengan masa bhakti selama 5 tahun .","Kepala Negara Republik Timor-Leste adalah seorang presiden , yang dipilih secara langsung dengan dengan masa bhakti selama 5 tahun .",infobox pranala luar,Entail_or_Paraphrase
"Dalam bintang , nukleosintesis bintang mengakibatkan pembentukan positron dari fusi inti atom .","Dalam bintang , nukleosintesis bintang mengakibatkan pembentukan positron dari penggabungan inti atom .",pembentukan copyedit,Entail_or_Paraphrase
"Indonesia saat ini secara de facto terdiri dari 34 provinsi , lima di antaranya memiliki status yang berbeda ( Aceh , Daerah Istimewa Yogyakarta , Papua Barat , Papua , dan DKI Jakarta ) .","Indonesia saat ini terdiri dari 34 provinsi , lima di antaranya memiliki status yang berbeda ( Aceh , DKI Jakarta, Daerah Istimewa Yogyakarta , Papua , dan  Papua Barat ) .",jumlah provinsi di indonesia secara de facto 34 provinsi dan secara de jure hanya 33 provinsi karena daerah istimewa yogyakarta berdasarkan undang undang nomor 13 tahun 2012 dan undang undang nomer 3 tahun 1950 adalah daerah otonomi setingkat provinsi,Entail_or_Paraphrase
"Fokus analisa ekonomi adalah pembuatan keputusan , dengan memperhatikan hasil yang akan diperoleh , dalam berbagai bidang dimana orang dihadapi para pilihan-pilihan – pendidikan , pernikahan , kesehatan , hukum , kriminal , perang , dan agama .","Fokus analisa ekonomi adalah pembuatan keputusan dalam berbagai bidang dimana orang dihadapi pada pilihan-pilihan , misalnya bidang pendidikan , pernikahan , kesehatan , hukum , kriminal , perang , dan agama .",,Entail_or_Paraphrase
Struktur ini bisa bervariasi dari ukuran 20 nanometer hingga 400 nanometer dan terdiri atas protein virus yang tersusun dalam bentuk simetri ikosahedral .,"Jumlah protein yang dibutuhkan untuk membentuk kapsid virus sferik ditentukan dengan koefisien T , yaitu sekitar 60t protein .",merapikan,NotEntail
"Influenza atau selesma berat , yang lebih dikenal dengan sebutan flu , merupakan penyakit menular yang disebabkan oleh virus RNA dari famili Orthomyxoviridae ( virus influenza ) , yang menyerang unggas dan mamalia .","Influenza , yang lebih dikenal dengan sebutan flu , merupakan penyakit menular yang disebabkan oleh virus RNA dari famili Orthomyxoviridae ( virus influenza ) , yang menyerang unggas dan mamalia .",rujukan kateglo,Entail_or_Paraphrase
Di tahun 1899 Churchill meninggalkan dinas militer dan memutuskan untuk menitis karir di parlemen .,Pada tahun 1899 Churchill meninggalkan dinas militer dan memutuskan untuk menitis karir di parlemen .,bot penggantian teks otomatis di tahun pada tahun kosmetik perubahan,Entail_or_Paraphrase
"Perkembangan sejarah pemikiran ekonomi kemudian berlanjut dengan menghasilkan tokoh-tokoh seperti Alfred Marshall , J.M. Keynes , Karl Marx , hingga peraih hadiah Nobel bidang Ekonomi tahun 2006 , Edmund Phelps .","Sebagai seorang ekonom , Smith tidak melupakan akar moralitasnya terutama yang tertuang dalam The Theory of Moral Sentiments .",suntingan special contributions 125 162 39 170 125 162 39 170 user talk 125 162 39 170 bicara dikembalikan ke versi terakhir oleh user 125 163 210 179 125 163 210 179,NotEntail
"Organisme yang biasanya menjadi model dalam bidang ini meliputi cacing Caenorhabditis elegans , lalat buah Drosophila melanogaster , ikan zebra Danio rerio , tikus Mus musculus , dan tanaman Arabidopsis thaliana .","Organisme yang biasanya menjadi model dalam bidang ini meliputi cacing Caenorhabditis elegans , lalat buah Drosophila melanogaster , ikan zebra Danio rerio , tikus Mus musculus , dan tumbuhan Arabidopsis thaliana .",struktural,Entail_or_Paraphrase
Hal ini dilakukan sebagai amal ibadah di bulan Ramadan .,Hal ini dilakukan sebagai amal shaleh pada bulan Ramadhan .,kegiatan bulan ramadan,Entail_or_Paraphrase
"Secara umum , Ilmu Komputer ( Ilkom ) , atau yang dalam bahasa Inggrisnya disebut Computer Science ( CS ) , adalah ilmu yang mempelajari tentang komputasi , baik perangkat keras ( hardware ) maupun perangkat lunak ( software ) .","Secara umum , Ilmu Komputer yang lebih dikenal dengan nama Sains Komputer ( Computer Science , CS ) adalah ilmu yang mempelajari tentang komputasi , baik perangkat keras ( hardware ) maupun perangkat lunak ( software ) .",link univ,Entail_or_Paraphrase
"Suku Dayak adalah nama yang oleh penduduk pesisir pulau Borneo diberi kepada penghuni pedalaman yang mendiami Pulau Kalimantan ( Brunei , Malaysia yang terdiri dari Sabah dan Sarawak , serta Indonesia yang terdiri dari Kalimantan Barat , Kalimantan Timur , Kalimantan Tengah , dan Kalimantan Selatan ) .","Suku Dayak adalah nama yang oleh penduduk pesisir pulau Borneo diberi kepada penghuni asli yang mendiami Pulau Kalimantan ( Brunei , Malaysia yang terdiri dari Sabah dan Sarawak , serta Indonesia yang terdiri dari Kalimantan Barat , Kalimantan Timur , Kalimantan Tengah , dan Kalimantan Selatan ) .",budaya sejarah dan beberapa suntigan kecil,NotEntail
Greenland dalam bahasa Inggris atau Tanah Hijau adalah sebuah pulau di sebelah utara Samudra Atlantik di arah timur laut Kanada .,Greenland dalam bahasa Inggris atau Tanah Hijau adalah sebuah pulau di Samudra Atlantik bagian utara arah timur laut Kanada .,prnl luar sunting tabel update,NotEntail
"Makhluk hidup lainnya , termasuk tumbuhan , hewan , dan manusia , merupakan organisme multiselular yang terdiri dari banyak tipe sel yang terspesialisasi dengan fungsinya masing-masing .","Kebanyakan makhluk hidup tersusun atas sel tunggal , atau disebut organisme uniselular , misalnya bakteri dan ameba .",tambah,NotEntail
"Pada masa pemerintahan Orde Baru juga dikenal Kepercayaan Terhadap Tuhan Yang Maha Esa , yang ditujukan kepada sebagian orang yang percaya akan keberadaan Tuhan , tetapi bukan pemeluk salah satu dari agama mayoritas frans .","Pada masa pemerintahan Orde Baru juga dikenal Kepercayaan Terhadap Tuhan Yang Maha Esa , yang ditujukan kepada sebagian orang yang percaya akan keberadaan Tuhan , tetapi bukan pemeluk salah satu dari agama mayoritas vanny .",agama di indonesia,NotEntail
"Sebagai agama , istilah ini merujuk kepada umat yang beragama Yahudi .",Tetapi orang yahudi terlibat banyak dosa dan kebodohan .,menolak perubahan teks terakhir oleh istimewa kontribusi pengguna sandreyadam sandreyadam dan mengembalikan revisi 8080209 oleh mimihitam,NotEntail
Kata filosofi yang dipungut dari bahasa Belanda juga dikenal di Indonesia .,Kata filosofi yang dipungut dari bahasa Korea juga dikenal di Indonesia .,etimologi,NotEntail
"Yahudi adalah istilah yang merujuk kepada sebuah agama , ras , atau suku bangsa .",Yahudi adalah istilah yang merujuk kepada sebuah agama atau suku bangsa .,i am telling the facts,Entail_or_Paraphrase
"Virus merupakan organisme subselular yang , karena ukurannya sangat kecil , tidak hanya dapat dilihat dengan menggunakan mikroskop elektron .","Virus merupakan organisme subselular yang , karena ukurannya sangat kecil , hanya dapat dilihat dengan menggunakan mikroskop elektron .",merapikan,NotEntail
Kemenangan tersebut menginspirasikan masyarakat setempat memakai nama Minangkabau yang maknanya Menang-Kerbau .,Kecemerlangan masyarakat Minang tersebutlah yang menjadi inspirasi nama Minangkabau .,etimologi,Entail_or_Paraphrase
"Pada abad ke-20 , pemisahan antara sejarah dan praaksara mempersulit penelitian .","Pada abad ke-20 , pemisahan antara sejarah dan prasejarah mempersulit penelitian .",menolak perubahan teks terakhir oleh istimewa kontribusi pengguna reyhan naufal hakim reyhan naufal hakim dan mengembalikan revisi 7676419 oleh hanamanteo,Entail_or_Paraphrase
"Elektron hanya menduduki 0,06 % massa total atom .","Elektron hanya mengambil 0,06 % massa total atom .",copyedit,Entail_or_Paraphrase
"Pada akhir abad ke-20 , dua kumpulan Yahudi ( terutama di Amerika Serikat ) yang liberal dari segi teologi , Yahudi Reformasi dan Yahudi Rekonstruksi telah membenarkan orang yang tidak memenuhi kriteria tersebut untuk menyebut diri mereka sebagai Yahudi .","Pada akhir abad ke-20 , dua kumpulan Yahudi ( terutama di Amerika Serikat ) yang liberal dan konsumeris , Yahudi Reformasi dan Yahudi Rekonstruksi telah membenarkan orang yang tidak memenuhi kriteria tersebut untuk menyebut diri mereka sebagai Yahudi .",menolak perubahan teks terakhir oleh istimewa kontribusi pengguna almaflowers almaflowers dan mengembalikan revisi 6939947 oleh toonyf,NotEntail
Gamal Abdel Nasser meninggal akibat sakit jantung selepas dua minggu peperangan tamat pada 28 September 1970 .,Gamal Abdel Nasser meninggal akibat sakit jantung setelah dua minggu peperangan tamat pada 28 September 1970 .,edit perkataan melayu kotak suksesi foto koreksi info,Entail_or_Paraphrase
Konsep dari Catatan Pinggir adalah sekedar sebagai sebuah komentar ataupun kritik terhadap batang tubuh yang utama .,Konsep dari Caping adalah sekadar sebuah komentar ataupun kritik terhadap batang tubuh yang utama .,merapihkan ups merapikan dan wikifikasi,Entail_or_Paraphrase
Inggris sempat menaklukkan Jawa di tahun 1811 .,Inggris sempat menaklukkan Jawa pada tahun 1811 .,bot penggantian teks otomatis di tahun pada tahun kosmetik perubahan,Entail_or_Paraphrase
"Sejak 2004 , MPR adalah sebuah parlemen bikameral , setelah terciptanya DPD sebagai kamar kedua .",Anggota DPR dan DPD dipilih melalui pemilu dan dilantik dalam masa jabatan lima tahun .,politik ref,NotEntail
Penghuni pertama pulau Bali diperkirakan datang pada 3000-2500 SM yang bermigrasi dari Asia .,Penghuni pertama pulau Bali diperkirakan datang pada 3000-2500 SM yang bermigrasi dari Lombok .,sejarah,NotEntail
"Albert Einstein , di pihak lain , menyatakan bahwa sejauh hukum-hukum matematika merujuk kepada kenyataan , mereka tidaklah pasti ; dan sejauh mereka pasti , mereka tidak merujuk kepada kenyataan. ","Albert Einstein menyatakan bahwa sejauh hukum-hukum matematika merujuk kepada kenyataan , mereka tidaklah pasti ; dan sejauh mereka pasti , mereka tidak merujuk kepada kenyataan. ",simplifikasi paragraf pembuka,Entail_or_Paraphrase
"Isi dari Wikipedia berada dalam naungan Lisensi Dokumen Bebas GNU , yang berarti bebas dan akan tetap bebas selamanya .","Isi dari Wikipedia berada dalam naungan Lisensi Dokumentasi Bebas GNU , yang berarti bebas dan akan tetap bebas selamanya .",terus 2x dihapus,Entail_or_Paraphrase
Kapsul juga dapat membantu sel bakteri menghindar dari sel kekebalan tubuh manusia jenis tertentu .,Kapsul juga dapat membantu sel bakteri menghindari jenis tertentu sel kekebalan tubuh manusia .,sel prokariota copyedit,Entail_or_Paraphrase
"Anime , manga , mode , film , kesusastraan , permainan video , dan musik Jepang menerima sambutan hangat di seluruh dunia , terutama di negara-negara Asia yang lain .",Pemuda Jepang gemar menciptakan trend baru dan kegemaran mengikut gaya mereka mempengaruhi mode dan trend seluruh dunia .,budaya,NotEntail
